Wage,Age,Club,League,Nation,Position,Apps,Caps
"1,595,000",20,Brianza,Serie A,ITA,Midfilder,46,0
"1,585,000",22,FC Porto,Primiera Liga,POR,Goalkeeper,94,5
"1,583,000",27,RC Lens,Ligue 1 Uber Eats,CIV,Midfilder,239,6
"1,582,000",33,OM,Ligue 1 Uber Eats,CHI,Forward,521,152
"1,582,000",22,OM,Ligue 1 Uber Eats,POR,Forward,56,0
"1,579,000",25,Bologna,Serie A,NED,Midfilder,144,1
"1,574,000",30,FC Porto,Primiera Liga,IRN,Forward,248,58
"1,572,000",24,Getafe,La Liga,ESP,Midfilder,120,1
"1,562,000",28,A. Madrid,La Liga,MOZ,Defender,150,35
"1,560,000",31,Nottm Forest,Premier League,ENG,Defender,403,0
"1,560,000",28,Brentford,Premier League,IRN,Forward,263,31
"1,560,000",32,Leicester,Premier League,ENG,Goalkeeper,444,0
"1,560,000",31,Bournemouth,Premier League,ENG,Defender,351,0
"1,560,000",40,Southampton,Premier League,ARG,Goalkeeper,369,5
"1,560,000",20,Crystal Palace,Premier League,FRA,Midfilder,36,0
"1,560,000",21,Wolves,Premier League,IRL,Defender,65,6
"1,560,000",21,Nottm Forest,Premier League,BRA,Midfilder,74,0
"1,560,000",29,Brentford,Premier League,JAM,Defender,360,5
"1,560,000",21,Reims,Ligue 1 Uber Eats,ENG,Forward,25,0
"1,560,000",21,Crystal Palace,Premier League,ENG,Defender,22,0
"1,560,000",19,Tottenham,Premier League,SEN,Midfilder,66,8
"1,560,000",30,Chelsea,Premier League,ENG,Goalkeeper,225,0
"1,560,000",22,OM,Ligue 1 Uber Eats,POR,Defender,72,0
"1,560,000",23,West Ham,Premier League,ENG,Midfilder,144,0
"1,560,000",22,Bournemouth,Premier League,ENG,Midfilder,62,0
"1,560,000",25,Wolves,Premier League,ENG,Defender,122,0
"1,560,000",24,Southampton,Premier League,ENG,Defender,217,0
"1,560,000",25,Fulham,Premier League,USA,Defender,164,28
"1,560,000",22,West Ham,Premier League,ENG,Defender,38,0
"1,560,000",23,Liverpool,Premier League,IRL,Goalkeeper,4,8
"1,560,000",24,Newcastle,Premier League,ENG,Midfilder,143,0
"1,560,000",20,Liverpool,Premier League,ENG,Forward,42,0
"1,560,000",27,Bournemouth,Premier League,ENG,Midfilder,225,0
"1,560,000",28,OGC Nice,Ligue 1 Uber Eats,ENG,Defender,325,0
"1,560,000",29,Newcastle,Premier League,GER,Goalkeeper,206,0
"1,560,000",31,Fulham,Premier League,SCO,Midfilder,375,2
"1,552,000",32,FC Augsburg,Bundesliga,GER,Midfilder,360,1
"1,552,000",26,Eintracht Frankfurt,Bundesliga,FRA,Defender,110,0
"1,549,000",27,Benfica,Primiera Liga,BRA,Defender,124,2
"1,548,000",33,Schalke 04,Bundesliga,GER,Goalkeeper,275,0
"1,548,000",26,Torino,Serie A,SRB,Forward,129,35
"1,548,000",30,Mainz 05,Bundesliga,KOR,Midfilder,262,63
"1,548,000",19,OL,Ligue 1 Uber Eats,FRA,Forward,54,0
"1,548,000",31,1. FC Koln,Bundesliga,GER,Forward,278,1
"1,548,000",34,FC Augsburg,Bundesliga,GER,Defender,435,0
"1,548,000",26,RC Lens,Ligue 1 Uber Eats,FRA,Midfilder,234,0
"1,546,000",26,OGC Nice,Ligue 1 Uber Eats,ALG,Defender,141,20
"1,546,000",24,Troyes,Ligue 1 Uber Eats,FRA,Midfilder,85,0
"1,546,000",27,FC Nantes,Ligue 1 Uber Eats,NGA,Midfilder,256,53
"1,545,000",23,Real San Sebastian,La Liga,ESP,Midfilder,132,1
"1,543,000",23,Milan,Serie A,POR,Forward,138,9
"1,543,000",25,Lazio,Serie A,CRO,Midfilder,204,2
"1,534,000",35,Sevilla,La Liga,BRA,Midfilder,393,0
"1,525,000",35,Sporting CP,Primiera Liga,ESP,Goalkeeper,361,0
"1,505,000",24,Villarreal,La Liga,ARG,Defender,70,15
"1,505,000",20,VfL Wolfsburg,Bundesliga,POL,Midfilder,108,3
"1,503,000",24,Rennes,Ligue 1 Uber Eats,CRO,Midfilder,156,8
"1,502,000",26,Benfica,Primiera Liga,NOR,Midfilder,330,8
"1,482,000",25,Elche,La Liga,ARG,Forward,184,0
"1,474,000",25,Real Hispalis,La Liga,ITA,Defender,125,1
"1,473,000",37,Salernitana,Serie A,MEX,Goalkeeper,595,128
"1,472,000",32,LOSC,Ligue 1 Uber Eats,BRA,Defender,238,0
"1,462,000",28,Mainz 05,Bundesliga,GER,Midfilder,248,0
"1,457,000",28,Real San Sebastian,La Liga,ESP,Defender,229,0
"1,456,000",26,Brentford,Premier League,COD,Midfilder,209,6
"1,456,000",24,Brentford,Premier League,GRN,Midfilder,88,3
"1,444,000",25,Elche,La Liga,ESP,Defender,184,0
"1,444,000",38,LOSC,Ligue 1 Uber Eats,POR,Defender,593,50
"1,441,000",29,Benfica,Primiera Liga,POR,Forward,293,25
"1,440,000",34,Bologna,Serie A,ITA,Defender,405,6
"1,440,000",25,Empoli,Serie A,ALB,Defender,137,27
"1,440,000",29,Lazio,Serie A,MNE,Defender,311,49
"1,440,000",31,Salernitana,Serie A,ITA,Goalkeeper,199,0
"1,440,000",24,Spezia,Serie A,GRE,Defender,104,1
"1,440,000",31,Bologna,Serie A,POL,Goalkeeper,286,7
"1,440,000",30,Atalanta,Serie A,ITA,Defender,280,13
"1,438,000",20,A. Bilbao,La Liga,ESP,Midfilder,68,0
"1,436,000",22,Getafe,La Liga,URU,Defender,52,0
"1,435,000",27,Empoli,Serie A,ITA,Midfilder,142,0
"1,435,000",35,Girona,La Liga,URU,Forward,496,50
"1,435,000",31,Vallecano,La Liga,FRA,Defender,327,0
"1,423,000",22,FC Porto,Primiera Liga,BRA,Forward,71,0
"1,419,000",34,Schalke 04,Bundesliga,JPN,Defender,355,119
"1,414,000",26,Villarreal,La Liga,ESP,Defender,234,0
"1,412,000",26,Benfica,Primiera Liga,ESP,Defender,264,0
"1,412,000",22,Tottenham,Premier League,ESP,Defender,109,1
"1,410,000",24,Mallorca,La Liga,BIH,Defender,100,18
"1,405,000",23,Sassuolo,Serie A,FRA,Forward,99,0
"1,401,000",31,Real Hispalis,La Liga,ESP,Midfilder,381,10
"1,393,000",30,FC Nantes,Ligue 1 Uber Eats,ALG,Forward,357,11
"1,384,000",24,Fiorentina,Serie A,SRB,Forward,175,26
"1,376,000",29,Mainz 05,Bundesliga,SUI,Defender,315,31
"1,375,000",27,AC Ajaccio,Ligue 1 Uber Eats,MLI,Defender,93,17
"1,370,000",24,FC Nantes,Ligue 1 Uber Eats,BRA,Defender,70,0
"1,356,000",24,Sporting CP,Primiera Liga,POR,Midfilder,97,2
"1,354,000",23,Udinese,Serie A,SVN,Defender,146,31
"1,354,000",31,Sassuolo,Serie A,FRA,Forward,321,0
"1,345,000",21,Wolves,Premier League,MLI,Midfilder,35,0
"1,345,000",32,Hoffenheim,Bundesliga,BIH,Defender,224,35
"1,345,000",27,Union Berlin,Bundesliga,CRO,Defender,247,20
"1,345,000",26,Sampdoria,Serie A,ARG,Midfilder,183,0
"1,345,000",27,Cremonese,Serie A,NGA,Forward,205,3
"1,340,000",28,Sevilla,La Liga,ARG,Midfilder,350,10
"1,340,000",30,Montpellier,Ligue 1 Uber Eats,FRA,Midfilder,274,0
"1,334,000",28,SV Werder,Bundesliga,GER,Forward,276,0
"1,334,000",25,FC Porto,Primiera Liga,BRA,Midfilder,125,0
"1,328,000",23,Reims,Ligue 1 Uber Eats,SWE,Defender,85,13
"1,328,000",23,Sassuolo,Serie A,ALB,Midfilder,187,7
"1,328,000",20,Juventus,Serie A,BRA,Forward,53,0
"1,328,000",24,Bournemouth,Premier League,URU,Defender,92,24
"1,328,000",36,Milan,Serie A,ROU,Goalkeeper,362,73
"1,328,000",21,Parthenope,Serie A,GEO,Forward,113,17
"1,328,000",25,Capitoline,Serie A,CRO,Midfilder,152,4
"1,323,000",28,Espanyol,La Liga,ESP,Midfilder,264,1
"1,310,000",24,Bologna,Serie A,COL,Defender,154,7
"1,305,000",24,Schalke 04,Bundesliga,CZE,Midfilder,121,31
"1,301,000",28,Cremonese,Serie A,FRA,Midfilder,243,0
"1,300,000",31,Valencia,La Liga,ESP,Goalkeeper,223,0
"1,300,000",18,Chelsea,Premier League,ENG,Forward,3,0
"1,300,000",33,Elche,La Liga,ARG,Defender,318,32
"1,300,000",20,Man City,Premier League,ENG,Midfilder,7,0
"1,300,000",22,Newcastle,Premier League,ENG,Midfilder,45,0
"1,300,000",22,Bournemouth,Premier League,ZIM,Defender,42,6
"1,300,000",23,Bournemouth,Premier League,ENG,Midfilder,149,0
"1,300,000",24,Brighton,Premier League,ESP,Goalkeeper,114,1
"1,300,000",20,Man UFC,Premier League,URU,Forward,65,6
"1,300,000",30,Bournemouth,Premier League,WAL,Forward,305,26
"1,300,000",25,Nottm Forest,Premier League,ENG,Defender,207,0
"1,300,000",25,Liverpool,Premier League,ENG,Defender,53,0
"1,300,000",24,Nottm Forest,Premier League,ENG,Midfilder,196,0
"1,300,000",26,Valladolid,La Liga,BRA,Defender,146,0
"1,300,000",22,Wolves,Premier League,POR,Forward,44,0
"1,300,000",25,Nottm Forest,Premier League,SCO,Defender,194,26
"1,300,000",30,Leeds,Premier League,ENG,Midfilder,274,0
"1,300,000",30,Girona,La Liga,ARG,Goalkeeper,116,1
"1,300,000",20,Leeds,Premier League,NED,Midfilder,49,0
"1,300,000",32,Bournemouth,Premier League,ENG,Midfilder,314,0
"1,300,000",20,Brighton,Premier League,ECU,Midfilder,52,28
"1,300,000",23,Bournemouth,Premier League,IRL,Goalkeeper,80,3
"1,300,000",26,Bournemouth,Premier League,ENG,Defender,212,0
"1,300,000",21,Leicester,Premier League,ENG,Defender,46,0
"1,298,000",28,Benfica,Primiera Liga,GRE,Goalkeeper,244,27
"1,298,000",29,FC Porto,Primiera Liga,BRA,Defender,237,0
"1,296,000",23,Capitoline,Serie A,NOR,Forward,135,0
"1,293,000",25,Getafe,La Liga,PAR,Defender,124,11
"1,293,000",27,BRG,Primiera Liga,POR,Midfilder,240,9
"1,293,000",25,Hertha Berlin,Bundesliga,GER,Midfilder,165,4
"1,293,000",27,1. FC Koln,Bundesliga,TUN,Midfilder,218,45
"1,293,000",25,Mallorca,La Liga,ESP,Defender,163,0
"1,292,000",28,Sampdoria,Serie A,GER,Defender,161,0
"1,290,000",31,Mainz 05,Bundesliga,GER,Defender,290,0
"1,290,000",31,Borussia M'gladbach,Bundesliga,GER,Midfilder,339,2
"1,290,000",27,Mainz 05,Bundesliga,GER,Goalkeeper,177,0
"1,290,000",27,Vigo,La Liga,ESP,Defender,310,0
"1,290,000",29,Elche,La Liga,ESP,Midfilder,285,0
"1,290,000",25,Mainz 05,Bundesliga,FRA,Defender,114,0
"1,290,000",23,Hoffenheim,Bundesliga,AUT,Midfilder,108,21
"1,290,000",34,Schalke 04,Bundesliga,GER,Forward,427,0
"1,290,000",27,1. FC Koln,Bundesliga,GER,Forward,258,0
"1,290,000",23,Eintracht Frankfurt,Bundesliga,FRA,Forward,100,0
"1,290,000",27,Union Berlin,Bundesliga,SUR,Midfilder,198,5
"1,290,000",27,Bayer 04,Bundesliga,GER,Midfilder,247,0
"1,290,000",24,Hertha Berlin,Bundesliga,NGA,Forward,145,8
"1,290,000",27,VfL Wolfsburg,Bundesliga,BRA,Defender,106,0
"1,290,000",22,Borussia M'gladbach,Bundesliga,FRA,Midfilder,47,0
"1,290,000",19,Milan,Serie A,BEL,Midfilder,68,0
"1,290,000",23,VfL Wolfsburg,Bundesliga,FRA,Defender,99,0
"1,290,000",21,Bayer 04,Bundesliga,NED,Defender,76,0
"1,290,000",22,Mainz 05,Bundesliga,LUX,Midfilder,99,39
"1,290,000",31,Schalke 04,Bundesliga,GER,Forward,351,0
"1,290,000",22,Bayer 04,Bundesliga,NED,Defender,89,0
"1,290,000",21,Bayer 04,Bundesliga,CIV,Defender,81,15
"1,290,000",26,Union Berlin,Bundesliga,USA,Forward,182,9
"1,290,000",20,Bayer 04,Bundesliga,CZE,Forward,106,18
"1,290,000",22,VfL Wolfsburg,Bundesliga,CRO,Defender,85,0
"1,290,000",22,Mainz 05,Bundesliga,GER,Forward,83,0
"1,289,000",38,OGC Nice,Ligue 1 Uber Eats,BRA,Defender,496,13
"1,289,000",30,Hertha Berlin,Bundesliga,GER,Defender,297,7
"1,289,000",27,Bayer 04,Bundesliga,NED,Defender,159,0
"1,289,000",23,OM,Ligue 1 Uber Eats,ARG,Defender,66,2
"1,287,000",33,FC Nantes,Ligue 1 Uber Eats,FRA,Midfilder,494,71
"1,276,000",32,Atalanta,Serie A,ARG,Defender,302,0
"1,276,000",23,Bologna,Serie A,GAM,Forward,136,27
"1,276,000",35,Empoli,Serie A,ITA,Forward,531,2
"1,276,000",26,Empoli,Serie A,SUI,Midfilder,200,0
"1,276,000",32,Cremonese,Serie A,ROU,Defender,243,75
"1,276,000",28,Atalanta,Serie A,NED,Defender,240,13
"1,276,000",27,Verona,Serie A,FRA,Forward,218,0
"1,276,000",25,Spezia,Serie A,POL,Goalkeeper,179,2
"1,276,000",27,Parthenope,Serie A,ITA,Goalkeeper,139,1
"1,276,000",26,Empoli,Serie A,SCO,Midfilder,212,0
"1,276,000",29,Atalanta,Serie A,ALB,Defender,331,48
"1,276,000",28,Inter,Serie A,GER,Defender,238,13
"1,276,000",25,Sampdoria,Serie A,ITA,Goalkeeper,178,0
"1,276,000",22,Milan,Serie A,ITA,Defender,54,0
"1,273,000",35,LOSC,Ligue 1 Uber Eats,FRA,Goalkeeper,513,1
"1,268,000",22,Udinese,Serie A,ARG,Defender,65,0
"1,268,000",24,Udinese,Serie A,SVN,Midfilder,193,22
"1,266,000",22,Leicester,Premier League,BRA,Midfilder,90,0
"1,266,000",23,Fulham,Premier League,ISR,Forward,143,31
"1,256,000",29,AS Monaco,Ligue 1 Uber Eats,FRA,Defender,244,1
"1,255,000",19,Valencia,La Liga,GUI,Midfilder,52,8
"1,238,000",23,Sevilla,La Liga,SEN,Midfilder,104,11
"1,238,000",26,LOSC,Ligue 1 Uber Eats,FRA,Forward,219,0
"1,237,000",29,Rennes,Ligue 1 Uber Eats,FRA,Midfilder,229,0
"1,235,000",26,FC Porto,Primiera Liga,SRB,Midfilder,164,17
"1,233,000",29,Schalke 04,Bundesliga,COL,Defender,189,9
"1,233,000",27,SV Werder,Bundesliga,GER,Defender,212,2
"1,232,000",35,Villarreal,La Liga,ESP,Midfilder,523,0
"1,232,000",19,Villarreal,La Liga,ESP,Forward,80,4
"1,224,000",20,Inter,Serie A,ALB,Midfilder,27,4
"1,224,000",25,Salento,Serie A,ITA,Defender,220,0
"1,222,000",39,Real Hispalis,La Liga,CHI,Goalkeeper,448,144
"1,219,000",25,Sporting CP,Primiera Liga,NED,Defender,169,0
"1,216,000",23,VfL Wolfsburg,Bundesliga,EGY,Forward,106,13
"1,216,000",30,Sampdoria,Serie A,COL,Defender,293,32
"1,216,000",30,Sampdoria,Serie A,ITA,Forward,325,11
"1,204,000",25,Hertha Berlin,Bundesliga,GER,Defender,158,0
"1,201,000",31,Mallorca,La Liga,ARG,Midfilder,262,2
"1,198,000",30,Bologna,Serie A,FRA,Defender,165,0
"1,197,000",23,Union Berlin,Bundesliga,HUN,Midfilder,117,20
"1,186,000",32,Montpellier,Ligue 1 Uber Eats,FRA,Forward,356,0
"1,184,000",27,Sporting CP,Primiera Liga,ESP,Defender,214,4
"1,182,000",24,Hoffenheim,Bundesliga,GER,Midfilder,105,0
"1,178,000",32,LOSC,Ligue 1 Uber Eats,FRA,Midfilder,326,4
"1,177,000",21,A. Bilbao,La Liga,ESP,Midfilder,130,0
"1,171,000",23,Sporting CP,Primiera Liga,ENG,Forward,120,0
"1,170,000",23,Brighton,Premier League,POL,Midfilder,173,20
"1,169,000",25,OGC Nice,Ligue 1 Uber Eats,NED,Defender,220,1
"1,163,000",27,Sevilla,La Liga,ESP,Midfilder,252,0
"1,163,000",29,Sevilla,La Liga,MEX,Defender,298,71
"1,161,000",32,Schalke 04,Bundesliga,GER,Midfilder,376,0
"1,161,000",23,Schalke 04,Bundesliga,URU,Midfilder,88,0
"1,161,000",28,Mainz 05,Bundesliga,GER,Defender,224,0
"1,161,000",32,Schalke 04,Bundesliga,GER,Midfilder,354,0
"1,161,000",29,Schalke 04,Bundesliga,GER,Midfilder,270,0
"1,161,000",24,Bayer 04,Bundesliga,NED,Defender,64,3
"1,141,000",31,Atletico Pamplona,La Liga,ESP,Goalkeeper,362,0
"1,141,000",23,Villarreal,La Liga,NGA,Midfilder,139,24
"1,138,000",29,Real Hispalis,La Liga,ESP,Forward,294,1
"1,137,000",26,Eintracht Frankfurt,Bundesliga,COL,Forward,180,20
"1,135,000",32,Montpellier,Ligue 1 Uber Eats,FRA,Defender,309,29
"1,134,000",24,RC Lens,Ligue 1 Uber Eats,FRA,Midfilder,123,0
"1,134,000",34,FC Nantes,Ligue 1 Uber Eats,FRA,Defender,377,0
"1,134,000",25,Salento,Serie A,FRA,Forward,185,0
"1,127,000",22,Rennes,Ligue 1 Uber Eats,FRA,Forward,84,0
"1,121,000",32,Brentford,Premier League,DEN,Defender,340,35
"1,121,000",27,Sampdoria,Serie A,ITA,Defender,217,0
"1,121,000",24,Sassuolo,Serie A,BRA,Defender,117,0
"1,121,000",31,Hertha Berlin,Bundesliga,GER,Forward,351,0
"1,121,000",24,VfB Stuttgart,Bundesliga,GRE,Defender,92,13
"1,121,000",24,Salento,Serie A,MAR,Midfilder,120,0
"1,121,000",35,Fiorentina,Serie A,ITA,Goalkeeper,446,28
"1,121,000",22,Sassuolo,Serie A,ITA,Midfilder,149,3
"1,121,000",26,Brighton,Premier League,GER,Forward,220,0
"1,121,000",20,Rennes,Ligue 1 Uber Eats,FRA,Forward,69,0
"1,121,000",39,Milan,Serie A,ITA,Goalkeeper,418,0
"1,121,000",30,Verona,Serie A,ITA,Forward,386,7
"1,118,000",30,Mainz 05,Bundesliga,AUT,Forward,332,18
"1,118,000",26,Mainz 05,Bundesliga,DEN,Forward,190,1
"1,116,000",25,Empoli,Serie A,ITA,Defender,134,0
"1,116,000",27,A. Bilbao,La Liga,ESP,Defender,269,0
"1,116,000",32,Udinese,Serie A,MKD,Forward,344,46
"1,116,000",32,Verona,Serie A,BIH,Forward,410,15
"1,107,000",24,Almeria,La Liga,COL,Forward,219,3
"1,104,000",20,Real San Sebastian,La Liga,ESP,Midfilder,80,0
"1,104,000",30,Sampdoria,Serie A,SRB,Midfilder,298,35
"1,103,000",26,Fiorentina,Serie A,ARG,Defender,105,11
"1,103,000",25,Atalanta,Serie A,DEN,Defender,179,29
"1,103,000",25,Milan,Serie A,SEN,Defender,118,13
"1,103,000",21,Torino,Serie A,ITA,Forward,49,1
"1,103,000",29,OM,Ligue 1 Uber Eats,UKR,Midfilder,313,49
"1,103,000",28,Udinese,Serie A,ESP,Forward,292,4
"1,103,000",31,Spezia,Serie A,NED,Goalkeeper,293,11
"1,103,000",23,Milan,Serie A,BEL,Defender,141,9
"1,103,000",23,Lazio,Serie A,POR,Goalkeeper,66,0
"1,103,000",31,Udinese,Serie A,ARG,Defender,342,19
"1,103,000",30,Fiorentina,Serie A,ITA,Forward,269,0
"1,096,000",21,OGC Nice,Ligue 1 Uber Eats,FRA,Midfilder,86,0
"1,090,000",23,R. Madrid,La Liga,UKR,Goalkeeper,77,7
"1,090,000",24,A. Madrid,La Liga,ARG,Defender,112,17
"1,087,000",24,FC Nantes,Ligue 1 Uber Eats,EGY,Forward,148,21
"1,086,000",31,Brianza,Serie A,ITA,Defender,252,0
"1,086,000",27,Brianza,Serie A,ITA,Defender,257,0
"1,078,000",22,OGC Nice,Ligue 1 Uber Eats,FRA,Defender,81,0
"1,077,000",34,Sporting CP,Primiera Liga,POR,Defender,293,19
"1,076,000",34,FC Augsburg,Bundesliga,AUT,Midfilder,348,84
"1,075,000",24,FC Augsburg,Bundesliga,GER,Midfilder,156,0
"1,075,000",26,VfB Stuttgart,Bundesliga,GER,Defender,205,0
"1,070,000",24,Vigo,La Liga,ESP,Midfilder,149,2
"1,069,000",29,Sporting CP,Primiera Liga,POR,Forward,334,3
"1,069,000",28,Udinese,Serie A,MAR,Defender,219,16
"1,053,000",28,Real Hispalis,La Liga,POR,Goalkeeper,183,1
"1,052,000",22,Rennes,Ligue 1 Uber Eats,BEL,Defender,73,3
"1,052,000",22,Parthenope,Serie A,NOR,Defender,136,5
"1,051,000",23,Everton,Premier League,POR,Defender,82,0
"1,051,000",23,Benfica,Primiera Liga,POR,Midfilder,130,0
"1,050,000",30,Villarreal,La Liga,ESP,Defender,232,4
"1,050,000",30,Villarreal,La Liga,ESP,Midfilder,423,0
"1,048,000",25,Sampdoria,Serie A,NED,Forward,148,0
"1,047,000",22,AS Monaco,Ligue 1 Uber Eats,MLI,Midfilder,99,15
"1,040,000",23,Brentford,Premier League,DEN,Defender,64,0
"1,040,000",22,Nottm Forest,Premier League,FRA,Defender,80,0
"1,040,000",29,Man City,Premier League,GER,Goalkeeper,266,0
"1,040,000",18,Leeds,Premier League,ITA,Forward,65,4
"1,040,000",32,Nottm Forest,Premier League,ENG,Defender,368,0
"1,040,000",27,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,228,0
"1,040,000",29,Aston Villa,Premier League,ENG,Goalkeeper,120,0
"1,040,000",35,Nottm Forest,Premier League,WAL,Goalkeeper,322,104
"1,040,000",24,Girona,La Liga,VEN,Midfilder,171,25
"1,040,000",18,Chelsea,Premier League,USA,Goalkeeper,43,0
"1,040,000",25,Leicester,Premier League,DEN,Goalkeeper,151,0
"1,040,000",25,Brighton,Premier League,JPN,Midfilder,151,7
"1,040,000",20,Leeds,Premier League,ENG,Midfilder,13,0
"1,040,000",23,Angers SCO,Ligue 1 Uber Eats,TUN,Defender,51,0
"1,040,000",25,AJ Auxerre,Ligue 1 Uber Eats,SCO,Midfilder,183,0
"1,037,000",23,Capitoline,Serie A,SRB,Goalkeeper,62,1
"1,036,000",22,Valencia,La Liga,BRA,Forward,115,0
"1,035,000",23,Hoffenheim,Bundesliga,FRA,Defender,85,0
"1,035,000",29,Hoffenheim,Bundesliga,USA,Defender,284,43
"1,035,000",21,Empoli,Serie A,URU,Forward,24,1
"1,035,000",27,Sevilla,La Liga,NED,Defender,200,4
"1,035,000",31,FC Augsburg,Bundesliga,NED,Defender,318,0
"1,034,000",27,Getafe,La Liga,SRB,Midfilder,242,39
"1,032,000",30,Union Berlin,Bundesliga,GER,Defender,325,0
"1,032,000",34,VfL Wolfsburg,Bundesliga,AUT,Goalkeeper,266,7
"1,032,000",21,AS Monaco,Ligue 1 Uber Eats,NED,Forward,111,1
"1,032,000",29,1. FC Koln,Bundesliga,AUT,Midfilder,344,20
"1,032,000",30,FC Nantes,Ligue 1 Uber Eats,FRA,Midfilder,293,0
"1,032,000",22,Bayer 04,Bundesliga,FRA,Forward,64,0
"1,032,000",30,Schalke 04,Bundesliga,POL,Defender,279,7
"1,032,000",22,Sevilla,La Liga,FRA,Defender,54,0
"1,032,000",23,Strasbourg,Ligue 1 Uber Eats,FRA,Defender,59,0
"1,032,000",27,Rennes,Ligue 1 Uber Eats,NOR,Defender,206,22
"1,032,000",26,Mallorca,La Liga,ZIM,Forward,162,22
"1,032,000",24,BVT,Primiera Liga,USA,Defender,123,27
"1,032,000",32,Borussia M'gladbach,Bundesliga,GER,Defender,257,0
"1,032,000",24,Borussia Dortmund,Bundesliga,NOR,Defender,185,11
"1,031,000",25,Angers SCO,Ligue 1 Uber Eats,FRA,Goalkeeper,186,0
"1,031,000",28,Eintracht Frankfurt,Bundesliga,GER,Defender,288,3
"1,031,000",28,FC Lorient,Ligue 1 Uber Eats,GER,Goalkeeper,140,0
"1,028,000",24,FC Lorient,Ligue 1 Uber Eats,FRA,Midfilder,78,0
"1,022,000",26,Mallorca,La Liga,SRB,Goalkeeper,275,28
"1,017,000",25,Real San Sebastian,La Liga,NGA,Forward,158,7
"1,017,000",26,Sevilla,La Liga,BRA,Defender,183,0
"1,004,000",22,A. Bilbao,La Liga,ESP,Midfilder,85,0
"1,004,000",27,A. Bilbao,La Liga,ESP,Defender,231,0
"1,003,000",21,AS Monaco,Ligue 1 Uber Eats,BRA,Defender,60,0
"1,003,000",25,Espanyol,La Liga,MEX,Defender,234,26
"998,000",30,Villarreal,La Liga,ALG,Defender,331,76
"991,000",27,Spezia,Serie A,POL,Defender,236,15
"991,000",22,Lazio,Serie A,BRA,Midfilder,76,0
"987,000",29,Vigo,La Liga,ESP,Defender,195,0
"986,000",22,Eintracht Frankfurt,Bundesliga,DEN,Forward,92,5
"986,000",25,Bologna,Serie A,AUT,Defender,179,16
"985,000",30,Cadiz,La Liga,URU,Defender,247,0
"985,000",29,Cadiz,La Liga,ESP,Midfilder,353,0
"983,000",26,SV Werder,Bundesliga,SRB,Defender,177,20
"980,000",35,Strasbourg,Ligue 1 Uber Eats,FRA,Forward,502,13
"977,000",28,RC Lens,Ligue 1 Uber Eats,FRA,Midfilder,292,0
"977,000",20,Lazio,Serie A,ITA,Midfilder,12,1
"976,000",23,Vigo,La Liga,ESP,Defender,79,1
"973,000",23,OGC Nice,Ligue 1 Uber Eats,NGA,Forward,133,7
"966,000",25,Real San Sebastian,La Liga,ESP,Defender,203,0
"966,000",30,Getafe,La Liga,ESP,Midfilder,412,0
"966,000",32,Brianza,Serie A,DEN,Forward,362,9
"964,000",18,Benfica,Primiera Liga,NOR,Forward,55,0
"963,000",25,Sevilla,La Liga,ESP,Forward,181,0
"963,000",30,Sevilla,La Liga,SRB,Goalkeeper,234,19
"963,000",28,Sevilla,La Liga,ESP,Midfilder,287,0
"963,000",28,Sevilla,La Liga,ESP,Midfilder,253,5
"957,000",25,Cremonese,Serie A,ITA,Defender,108,0
"957,000",25,Empoli,Serie A,ITA,Goalkeeper,188,0
"957,000",23,Fiorentina,Serie A,ITA,Defender,97,0
"957,000",23,Fiorentina,Serie A,ITA,Midfilder,79,0
"957,000",31,Spezia,Serie A,MAR,Midfilder,186,8
"957,000",32,Sampdoria,Serie A,NED,Defender,314,0
"957,000",30,Atalanta,Serie A,ITA,Goalkeeper,276,0
"957,000",30,Sassuolo,Serie A,ITA,Defender,363,1
"957,000",31,Verona,Serie A,SRB,Defender,370,23
"957,000",27,Empoli,Serie A,ITA,Midfilder,192,0
"957,000",26,Verona,Serie A,ITA,Defender,152,0
"953,000",32,A. Bilbao,La Liga,ESP,Midfilder,430,0
"950,000",30,AC Ajaccio,Ligue 1 Uber Eats,ALG,Midfilder,179,43
"948,000",29,OM,Ligue 1 Uber Eats,BIH,Defender,218,49
"948,000",30,FC Augsburg,Bundesliga,CZE,Goalkeeper,216,11
"947,000",29,Vallecano,La Liga,ESP,Midfilder,353,0
"946,000",23,Verona,Serie A,ARG,Forward,84,1
"946,000",24,Espanyol,La Liga,FRA,Defender,106,0
"945,000",31,Villarreal,La Liga,ESP,Defender,379,0
"945,000",21,Villarreal,La Liga,ESP,Midfilder,76,0
"945,000",25,Salernitana,Serie A,SEN,Forward,129,17
"941,000",27,Salernitana,Serie A,NED,Midfilder,287,15
"940,000",30,Sassuolo,Serie A,EQG,Midfilder,280,11
"929,000",25,FC Porto,Primiera Liga,ESP,Forward,138,0
"929,000",27,Strasbourg,Ligue 1 Uber Eats,SEN,Forward,220,14
"928,000",29,Real Hispalis,La Liga,SEN,Defender,238,24
"928,000",30,FC Nantes,Ligue 1 Uber Eats,BRA,Defender,281,0
"928,000",30,Strasbourg,Ligue 1 Uber Eats,BEL,Goalkeeper,278,2
"928,000",29,Angers SCO,Ligue 1 Uber Eats,FRA,Forward,231,0
"923,000",30,Espanyol,La Liga,ESP,Goalkeeper,335,0
