Wage,Age,Club,League,Nation,Position,Apps,Caps
"8,840,000",28,Man UFC,Premier League,SWE,Defender,334,52
"8,621,000",27,Borussia Dortmund,Bundesliga,GER,Defender,234,40
"8,598,000",26,RB Leipzig,Bundesliga,GER,Midfilder,283,53
"8,598,000",,Borussia Dortmund,Bundesliga,BEL,Defender,324,56
"8,598,000",33,Borussia Dortmund,Bundesliga,GER,Defender,435,76
"8,598,000",27,PSG,Ligue 1 Uber Eats,FRA,Defender,159,28
"8,598,000",33,Borussia Dortmund,Bundesliga,GER,Forward,390,48
"8,580,000",,Man City,Premier League,GER,Midfilder,320,59
"8,320,000",28,Liverpool,Premier League,SCO,Defender,337,59
"8,320,000",26,Man City,Premier League,ESP,Defender,246,33
"8,320,000",29,Arsenal,Premier League,GHA,Midfilder,281,40
"8,320,000",,Man City,Premier League,ENG,Midfilder,221,23
"8,320,000",24,Newcastle,Premier League,BRA,Midfilder,135,8
"8,320,000",35,Leicester,Premier League,ENG,Forward,518,26
"8,320,000",23,Liverpool,Premier League,ENG,Defender,168,17
"8,290,000",28,A. Madrid,La Liga,NED,Forward,291,79
"8,190,000",,Barcelona,La Liga,FRA,Defender,155,11
"8,151,000",,A. Madrid,La Liga,ESP,Forward,388,56
"8,082,000",22,Chelsea,Premier League,POR,Forward,142,22
"7,984,000",,R. Madrid,La Liga,ESP,Defender,320,29
"7,984,000",27,R. Madrid,La Liga,FRA,Defender,179,7
"7,984,000",24,R. Madrid,La Liga,BRA,Defender,132,22
"7,983,000",,Juventus,Serie A,COL,Defender,369,113
"7,983,000",28,Inter,Serie A,TUR,Midfilder,334,72
"7,983,000",25,Juventus,Serie A,BRA,Defender,125,0
"7,983,000",24,Juventus,Serie A,ITA,Midfilder,178,37
"7,983,000",36,Inter,Serie A,BIH,Forward,576,124
"7,983,000",,Inter,Serie A,ITA,Midfilder,224,39
"7,800,000",33,Chelsea,Premier League,ESP,Defender,499,40
"7,800,000",23,Chelsea,Premier League,GER,Forward,180,28
"7,800,000",26,Chelsea,Premier League,ENG,Midfilder,132,10
"7,800,000",28,Chelsea,Premier League,CRO,Midfilder,317,81
"7,800,000",21,Chelsea,Premier League,UKR,Midfilder,49,5
"7,800,000",23,Chelsea,Premier League,USA,Midfilder,169,51
"7,800,000",22,Man UFC,Premier League,BRA,Midfilder,91,9
"7,738,000",19,Barcelona,La Liga,ESP,Midfilder,90,12
"7,738,000",28,Juventus,Serie A,ARG,Midfilder,215,44
"7,733,000",27,Juventus,Serie A,FRA,Midfilder,260,29
"7,621,000",27,Chelsea,Premier League,ESP,Goalkeeper,272,11
"7,397,000",30,Barcelona,La Liga,GER,Goalkeeper,348,28
"7,397,000",,A. Madrid,La Liga,BEL,Defender,294,57
"7,397,000",27,A. Madrid,La Liga,ESP,Defender,230,5
"7,308,000",28,Man UFC,Premier League,AUT,Midfilder,373,64
"7,308,000",28,Borussia Dortmund,Bundesliga,GER,Defender,285,37
"7,280,000",23,Liverpool,Premier League,URU,Forward,109,11
"7,280,000",,Liverpool,Premier League,POR,Forward,237,27
"7,280,000",31,Liverpool,Premier League,CMR,Defender,328,27
"7,280,000",25,Man UFC,Premier League,NED,Midfilder,187,19
"7,222,000",29,PSG,Ligue 1 Uber Eats,ESP,Defender,212,11
"7,182,000",28,Capitoline,Serie A,ARG,Forward,343,34
"7,173,000",36,A. Bilbao,La Liga,ESP,Midfilder,579,2
"6,909,000",21,R. Madrid,La Liga,BRA,Forward,124,5
"6,909,000",32,R. Madrid,La Liga,ESP,Defender,360,22
"6,897,000",27,A. Madrid,La Liga,ESP,Defender,212,16
"6,878,000",22,Sporting CP,Primiera Liga,POR,Forward,140,7
"6,878,000",24,FC Bayern,Bundesliga,MAR,Defender,157,12
"6,878,000",21,FC Bayern,Bundesliga,CAN,Defender,169,32
"6,760,000",,Man UFC,Premier League,BRA,Midfilder,239,28
"6,760,000",32,Everton,Premier League,SEN,Midfilder,343,88
"6,760,000",27,Liverpool,Premier League,GUI,Midfilder,216,50
"6,760,000",28,Man City,Premier League,ESP,Defender,310,15
